latitude,longitude,depth,mag,magType,gap,dmin,rms,id,place,depthError,magError,magNst,year,month,time_seconds,country
30.4473,94.8662,35.92,4.5,mb,167.0,3.324,0.39,us700058d8,"217 km NNE of Shi Yomi, India",9.8,0.144,14.0,2019.0,8.0,1565847773.0,India
30.3683,94.8628,10.0,4.9,mb,100.0,3.306,0.6,us6000558f,"209 km NNE of Shi Yomi, India",1.9,0.072,60.0,2019.0,8.0,1565826423.0,India
30.4829,94.83,10.0,4.9,mb,135.0,3.301,1.2,us600054vx,"220 km NNE of Shi Yomi, India",1.9,0.051,122.0,2019.0,8.0,1565770434.0,India
30.4088,94.7964,10.0,4.8,mb,54.0,3.258,0.85,us600053vm,"212 km NNE of Shi Yomi, India",1.8,0.054,107.0,2019.0,8.0,1565580749.0,India
30.3508,94.7872,10.0,4.3,mb,159.0,3.239,0.7,us600053vp,"205 km NNE of Shi Yomi, India",1.9,0.099,29.0,2019.0,8.0,1565579176.0,India
30.4138,94.8662,10.0,4.6,mb,54.0,3.318,0.66,us600053pp,"214 km NNE of Shi Yomi, India",1.8,0.074,54.0,2019.0,8.0,1565521680.0,India
30.3447,94.8731,10.0,5.0,mb,68.0,3.311,1.11,us600053la,"206 km NNE of Shi Yomi, India",1.9,0.037,239.0,2019.0,8.0,1565489606.0,India
28.4321,83.3273,10.0,4.4,mb,101.0,8.124,0.57,us600055zw,"31 km NW of B?glung, Nepal",1.9,0.13,17.0,2019.0,8.0,1565354473.0,Nepal
25.6762,96.6433,10.0,4.7,mb,79.0,2.568,1.18,us600050ru,"61 km SSW of Sarupathar, India",1.9,0.08,47.0,2019.0,8.0,1564998183.0,India
11.9126,95.0085,10.0,5.0,mb,101.0,5.594,1.05,us600050es,"248 km E of Port Blair, India",1.8,0.08,50.0,2019.0,8.0,1564881974.0,India
24.7977,94.315,48.6,4.0,mb,130.0,0.565,0.72,us600052yn,"30 km ENE of Yairipok, India",10.4,0.26,4.0,2019.0,8.0,1564877432.0,India
23.627,94.6517,93.37,4.6,mb,91.0,0.68,0.59,us60004zkl,"25 km E of Mawlaik, Myanmar",6.8,0.122,20.0,2019.0,8.0,1564756657.0,Myanmar
14.1694,93.4565,10.0,4.5,mb,82.0,6.694,0.82,us600052t0,"284 km NNE of Bamboo Flat, India",1.9,0.106,26.0,2019.0,8.0,1564620198.0,India
32.8856,76.7183,10.0,4.4,mb,164.0,2.989,0.93,us60004wwv,"45 km NW of Kyelang, India",1.8,0.085,40.0,2019.0,7.0,1564371232.0,India
22.5443,86.4405,10.0,4.5,mb,182.0,4.808,0.86,us60004wux,"4 km NNW of Mush?bani, India",1.9,0.118,21.0,2019.0,7.0,1564349103.0,India
34.4294,92.9068,10.0,4.3,mb,75.0,4.948,1.09,us60004vq9,"Southern Qinghai, China",1.9,0.106,25.0,2019.0,7.0,1564111466.0,China
33.9937,71.7561,10.0,4.2,mb,180.0,1.304,0.83,us60004ymn,"3 km WSW of Pabbi, Pakistan",2.0,0.305,3.0,2019.0,7.0,1564095644.0,Pakistan
19.578,72.508,10.0,4.1,mb,158.0,12.746,1.39,us600055sf,"25 km WSW of Shirgaon, India",2.0,0.145,13.0,2019.0,7.0,1563996789.0,India
32.7286,76.3907,10.0,4.2,mb,169.0,2.774,0.84,us60004v0j,"31 km NE of Chamba, India",1.9,0.214,6.0,2019.0,7.0,1563995831.0,India
24.8601,95.1097,120.67,4.0,mb,71.0,2.605,0.99,us60004ykk,"108 km SE of Phek, India",13.7,0.258,4.0,2019.0,7.0,1563964273.0,India
28.8184,95.9771,10.0,4.5,mb,55.0,4.328,0.64,us60004y1s,"99 km NW of Hayuliang, India",1.9,0.096,32.0,2019.0,7.0,1563865017.0,India
27.7365,92.8044,10.0,4.9,mww,23.0,2.321,0.65,us70004pfb,"64 km NE of Bomdila, India",1.7,0.103,9.0,2019.0,7.0,1563576864.0,India
27.7047,92.7236,10.0,4.7,mb,91.0,2.266,0.67,us70004ns7,"57 km NNE of Bomdila, India",1.9,0.056,95.0,2019.0,7.0,1563529921.0,India
27.7188,92.8302,15.0,5.5,mww,17.0,2.313,0.54,us70004nrn,"64 km NE of Bomdila, India",1.7,0.062,25.0,2019.0,7.0,1563528135.0,India
11.8122,94.8487,10.0,4.9,mb,151.0,5.666,0.6,us70004me9,"229 km E of Port Blair, India",1.6,0.071,63.0,2019.0,7.0,1563382535.0,India
31.7644,91.1874,11.93,4.9,mb,69.0,5.368,0.77,us70004ksw,"88 km WNW of Nagqu, China",4.2,0.042,174.0,2019.0,7.0,1563212489.0,China
35.0886,81.1262,10.0,4.3,mb,108.0,6.654,0.91,us70004k7v,"248 km SSE of Hotan, China",1.9,0.125,18.0,2019.0,7.0,1563143154.0,China
24.9048,94.6999,71.28,4.3,mb,115.0,0.764,0.91,us70004jl6,"70 km ENE of Yairipok, India",9.7,0.147,13.0,2019.0,7.0,1563030539.0,India
8.4582,93.7163,10.0,4.6,mb,128.0,5.823,0.62,us70004nv4,"Nicobar Islands, India region",1.9,0.129,18.0,2019.0,7.0,1562672423.0,India region
8.7112,94.0263,79.63,4.6,mb,97.0,4.513,0.73,us70004nuz,"Nicobar Islands, India region",7.0,0.067,66.0,2019.0,7.0,1562664374.0,India region
33.9683,94.3177,10.0,4.0,mb,140.0,5.044,0.94,us70004mby,"Southern Qinghai, China",2.0,0.172,9.0,2019.0,7.0,1562507116.0,China
9.3763,87.1121,10.0,5.0,mb,47.0,6.678,0.72,us70004b9y,Bay of Bengal,1.7,0.039,212.0,2019.0,7.0,1562346507.0,Bay of Bengal
18.6186,92.8565,10.0,4.7,mb,147.0,4.063,0.73,us70004aq6,"169 km S of Sittwe, Myanmar",1.9,0.099,31.0,2019.0,7.0,1562301991.0,Myanmar
18.5189,92.7871,10.0,4.8,mb,194.0,4.172,0.51,us70004kqc,"180 km S of Sittwe, Myanmar",2.0,0.149,15.0,2019.0,7.0,1562292711.0,Myanmar
32.8642,91.9414,10.0,4.2,mb,95.0,3.227,1.09,us700049k6,"154 km N of Nagqu, China",1.9,0.113,22.0,2019.0,7.0,1562182345.0,China
24.9278,94.9219,112.02,4.5,mb,157.0,0.896,1.26,us7000493b,"92 km SSE of Phek, India",7.8,0.191,8.0,2019.0,7.0,1562133460.0,India
27.7834,94.8947,10.0,4.4,mb,172.0,3.502,0.98,us70004i8m,"26 km NE of Silapathar, India",2.0,0.127,18.0,2019.0,7.0,1562026112.0,India
33.6308,82.5671,10.0,4.6,mb,100.0,6.729,1.15,us700047ar,western Xizang,1.9,0.052,110.0,2019.0,6.0,1561814421.0,western Xizang
31.4827,70.0422,10.0,4.1,mb,126.0,3.477,0.82,us600045bt,"58 km ENE of Zhob, Pakistan",1.9,0.114,24.0,2019.0,6.0,1561398573.0,Pakistan
9.9478,93.881,10.0,4.3,mb,207.0,2.031,1.11,us700048px,"226 km SSE of Port Blair, India",1.9,0.201,7.0,2019.0,6.0,1561257310.0,India
25.812,95.8922,132.99,4.2,mb,96.0,2.137,0.97,us600044cg,"101 km WSW of Sarupathar, India",10.0,0.146,13.0,2019.0,6.0,1561135345.0,India
17.1576,73.7769,10.0,4.3,mb,48.0,11.927,0.75,us700046ng,"26 km S of Koynanagar, India",1.6,0.1,28.0,2019.0,6.0,1560997026.0,India
17.8972,96.1277,16.19,4.8,mb,85.0,2.24,0.77,us700048dc,"41 km ENE of Letpandan, Myanmar",4.4,0.144,15.0,2019.0,6.0,1560832100.0,Myanmar
12.1229,92.709,30.0,4.9,mb,36.0,0.465,1.11,us6000424m,"46 km N of Bamboo Flat, India",4.2,0.05,127.0,2019.0,6.0,1560809999.0,India
28.4217,87.173,84.75,4.6,mb,136.0,0.56,0.87,us600041vn,"62 km NE of Lobujya, Nepal",9.4,0.09,37.0,2019.0,6.0,1560794300.0,Nepal
34.6122,72.2752,31.11,4.6,mb,84.0,1.264,0.99,us600041e0,"20 km SSW of Mingora, Pakistan",4.5,0.082,44.0,2019.0,6.0,1560688750.0,Pakistan
17.0952,93.9096,10.0,4.0,mb,177.0,4.44,0.43,us6000448l,"94 km WNW of Pathein, Myanmar",2.0,0.232,5.0,2019.0,6.0,1560579799.0,Myanmar
34.6813,72.8572,12.9,5.2,mb,67.0,1.083,0.65,us70003ydx,"11 km W of Shingli Bala, Pakistan",3.7,0.038,230.0,2019.0,6.0,1560309024.0,Pakistan
32.7729,71.2286,35.0,4.2,mb,158.0,1.921,1.23,us70003xdg,"14 km WSW of Kamar Mushani, Pakistan",2.0,0.107,24.0,2019.0,6.0,1560047813.0,Pakistan
24.537,72.7357,10.0,4.0,mb,112.0,9.093,0.84,us70003vv0,"6 km SSE of ?bu, India",2.0,0.111,22.0,2019.0,6.0,1559754072.0,India
25.0414,94.8689,65.32,4.6,mb,62.0,0.959,0.87,us70003v97,"78 km SSE of Phek, India",7.9,0.051,113.0,2019.0,6.0,1559654853.0,India
34.4841,82.9807,10.0,4.3,mb,76.0,7.284,0.95,us70003thd,western Xizang,1.9,0.096,31.0,2019.0,5.0,1559263004.0,western Xizang
23.9515,94.7518,95.69,4.5,mb,134.0,0.496,0.99,us70003wcv,"49 km NE of Mawlaik, Myanmar",5.5,0.11,24.0,2019.0,5.0,1559094863.0,Myanmar
23.2123,86.8925,10.0,4.7,mb,99.0,6.208,0.66,us60003sb2,"18 km W of B?nkura, India",1.9,0.066,69.0,2019.0,5.0,1558847350.0,India
8.8566,93.7306,10.0,4.6,mb,70.0,5.81,1.31,us60003s9g,"Nicobar Islands, India region",1.8,0.09,37.0,2019.0,5.0,1558837185.0,India region
30.3347,87.5686,10.0,4.8,mb,66.0,2.458,1.26,us60003s9b,"174 km NW of Rikaze, China",1.8,0.045,154.0,2019.0,5.0,1558836567.0,China
30.3288,87.661,10.0,4.7,mb,51.0,2.475,1.34,us60003s91,"168 km NW of Rikaze, China",1.9,0.06,84.0,2019.0,5.0,1558835095.0,China
29.5741,81.4056,49.39,4.0,mb,219.0,5.011,0.99,us60003s4n,"56 km NE of Dipayal, Nepal",21.5,0.164,10.0,2019.0,5.0,1558797839.0,Nepal
8.5841,93.4888,9.85,4.4,mb,173.0,4.785,0.68,us70003tt2,"Nicobar Islands, India region",5.3,0.127,18.0,2019.0,5.0,1558794803.0,India region
27.6468,86.3425,10.0,4.5,mb,147.0,4.676,0.64,us60003s00,"40 km WSW of Namche Bazar, Nepal",1.9,0.075,52.0,2019.0,5.0,1558761444.0,Nepal
10.8163,91.6187,10.0,4.7,mb,99.0,7.657,0.51,us70003ts3,"154 km SW of Bamboo Flat, India",1.9,0.117,22.0,2019.0,5.0,1558739993.0,India
13.8733,92.9509,10.0,5.0,mb,36.0,7.235,0.77,us60003rwt,"241 km N of Bamboo Flat, India",1.8,0.039,212.0,2019.0,5.0,1558733014.0,India
10.6433,91.4323,10.0,4.2,mb,119.0,7.665,0.93,us70003trx,"182 km SW of Bamboo Flat, India",1.9,0.124,21.0,2019.0,5.0,1558730675.0,India
25.0456,95.2138,95.78,4.4,mb,94.0,1.162,0.53,us60003qkr,"99 km SE of Phek, India",8.1,0.093,33.0,2019.0,5.0,1558529753.0,India
13.8921,92.9916,29.0,5.6,mww,21.0,7.195,1.05,us60003qg7,"244 km N of Bamboo Flat, India",1.8,0.048,41.0,2019.0,5.0,1558485574.0,India
7.7755,94.3354,10.0,4.4,mb,90.0,4.162,1.06,us60003rqb,"235 km NNW of Sabang, Indonesia",1.9,0.161,11.0,2019.0,5.0,1558106722.0,Indonesia
27.9487,84.7453,10.0,4.7,mb,167.0,1.828,0.98,us70003mg6,"42 km NE of Bharatpur, Nepal",1.9,0.083,44.0,2019.0,5.0,1558081417.0,Nepal
29.9019,68.0004,10.0,4.4,mb,146.0,4.709,1.27,us70003k36,"22 km SSE of Harnai, Pakistan",1.9,0.131,17.0,2019.0,5.0,1557682186.0,Pakistan
28.8684,81.5715,31.28,4.5,mb,82.0,4.703,0.74,us70003jv2,"13 km W of Dailekh, Nepal",3.8,0.062,77.0,2019.0,5.0,1557600661.0,Nepal
10.737,93.5702,77.47,4.6,mb,94.0,1.221,0.95,us70003hv8,"136 km SE of Port Blair, India",6.0,0.083,43.0,2019.0,5.0,1557217452.0,India
12.5345,93.2991,86.56,4.4,mb,109.0,1.028,0.67,us70003lln,"111 km NE of Bamboo Flat, India",10.0,0.162,11.0,2019.0,5.0,1557154398.0,India
19.7263,90.8861,10.0,4.9,mb,115.0,3.019,0.93,us70003hcx,"193 km SW of Tekn?f, Bangladesh",1.9,0.099,32.0,2019.0,5.0,1557152306.0,Bangladesh
26.2288,95.7216,85.93,5.2,mww,16.0,2.37,0.94,us70003gm1,"86 km SE of Mon, India",4.7,0.063,24.0,2019.0,5.0,1556967841.0,India
29.533,85.3709,10.0,4.2,mb,153.0,2.015,0.66,us70003iw6,"27 km NNE of Saga, China",1.9,0.093,32.0,2019.0,4.0,1556616716.0,China
23.0333,94.8184,133.05,4.7,mb,122.0,1.19,0.9,us70003e51,"79 km SSE of Mawlaik, Myanmar",6.9,0.075,53.0,2019.0,4.0,1556559584.0,Myanmar
33.5157,81.5138,15.73,4.5,mb,134.0,6.882,0.64,us70003e00,western Xizang,4.8,0.108,25.0,2019.0,4.0,1556544964.0,western Xizang
